------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, TH3.0
EnvLogger Viewer version, 6.1
downloading device type, android
device, Armor X10 Pro
device name, CoastalWarming_09
downloading mode, manual
------------------------------,--------------------
serial number, 04F4 4100 EF28 0B
custom name, humidsh01a
temperature, degrees Celsius
humidity, percentage
time zone, UTC+0000
sampling resolution, 0.1
samples, 5593
time diff [logger-smartphone](sec), 5
lat, 41.328148
long, -8.672537
accuracy (m), 1.9
------------------------------,--------------------
time,temp,humidity
2025-03-28 12:50:00,25.5,60.1
2025-03-28 13:00:00,27.2,46.0
2025-03-28 13:10:00,28.1,53.8
2025-03-28 13:20:00,28.4,43.5
2025-03-28 13:30:00,29.0,53.9
2025-03-28 13:40:00,24.2,42.5
2025-03-28 13:50:00,22.6,48.4
2025-03-28 14:00:00,23.9,43.3
2025-03-28 14:10:00,25.4,40.5
2025-03-28 14:20:00,25.1,40.3
2025-03-28 14:30:00,23.4,41.3
2025-03-28 14:40:00,22.3,45.7
2025-03-28 14:50:00,22.2,46.7
2025-03-28 15:00:00,22.0,48.4
2025-03-28 15:10:00,21.9,45.3
2025-03-28 15:20:00,21.6,46.2
2025-03-28 15:30:00,22.3,46.4
2025-03-28 15:40:00,22.0,49.7
2025-03-28 15:50:00,21.4,49.0
2025-03-28 16:00:00,21.2,51.3
2025-03-28 16:10:00,21.5,51.8
2025-03-28 16:20:00,21.8,51.0
2025-03-28 16:30:00,22.1,51.3
2025-03-28 16:40:00,21.5,53.2
2025-03-28 16:50:00,21.5,52.8
2025-03-28 17:00:00,21.2,53.0
2025-03-28 17:10:00,20.1,55.0
2025-03-28 17:20:00,19.5,57.6
2025-03-28 17:30:00,19.1,59.2
2025-03-28 17:40:00,18.5,61.8
2025-03-28 17:50:00,18.1,62.0
2025-03-28 18:00:00,17.9,63.2
2025-03-28 18:10:00,17.6,63.0
2025-03-28 18:20:00,17.3,63.9
2025-03-28 18:30:00,17.1,64.4
2025-03-28 18:40:00,16.9,65.1
2025-03-28 18:50:00,16.7,65.8
2025-03-28 19:00:00,16.5,66.4
2025-03-28 19:10:00,16.3,67.0
2025-03-28 19:20:00,16.1,67.4
2025-03-28 19:30:00,16.0,67.9
2025-03-28 19:40:00,15.9,68.5
2025-03-28 19:50:00,15.6,68.9
2025-03-28 20:00:00,15.2,69.6
2025-03-28 20:10:00,15.2,70.2
2025-03-28 20:20:00,15.1,71.2
2025-03-28 20:30:00,15.1,70.6
2025-03-28 20:40:00,15.1,69.6
2025-03-28 20:50:00,15.2,69.6
2025-03-28 21:00:00,15.0,70.0
2025-03-28 21:10:00,14.7,70.4
2025-03-28 21:20:00,14.7,70.7
2025-03-28 21:30:00,14.7,69.4
2025-03-28 21:40:00,14.6,69.4
2025-03-28 21:50:00,14.6,68.7
2025-03-28 22:00:00,14.6,68.1
2025-03-28 22:10:00,14.1,70.3
2025-03-28 22:20:00,14.4,69.8
2025-03-28 22:30:00,14.1,70.6
2025-03-28 22:40:00,13.9,70.8
2025-03-28 22:50:00,13.9,70.7
2025-03-28 23:00:00,14.0,70.7
2025-03-28 23:10:00,14.0,70.3
2025-03-28 23:20:00,14.1,70.2
2025-03-28 23:30:00,14.0,69.9
2025-03-28 23:40:00,13.9,70.9
2025-03-28 23:50:00,13.7,71.1
2025-03-29 00:00:00,13.5,71.8
2025-03-29 00:10:00,13.5,71.8
2025-03-29 00:20:00,13.5,71.4
2025-03-29 00:30:00,13.5,71.3
2025-03-29 00:40:00,13.5,71.2
2025-03-29 00:50:00,13.3,72.1
2025-03-29 01:00:00,13.2,72.6
2025-03-29 01:10:00,13.0,72.4
2025-03-29 01:20:00,13.3,71.7
2025-03-29 01:30:00,13.1,71.8
2025-03-29 01:40:00,13.2,71.4
2025-03-29 01:50:00,13.1,71.4
2025-03-29 02:00:00,13.0,71.5
2025-03-29 02:10:00,12.7,71.6
2025-03-29 02:20:00,12.6,72.8
2025-03-29 02:30:00,12.4,73.1
2025-03-29 02:40:00,12.1,73.4
2025-03-29 02:50:00,12.2,74.1
2025-03-29 03:00:00,12.0,74.1
2025-03-29 03:10:00,12.0,74.5
2025-03-29 03:20:00,11.9,74.6
2025-03-29 03:30:00,11.9,74.9
2025-03-29 03:40:00,11.8,73.9
2025-03-29 03:50:00,11.8,73.9
2025-03-29 04:00:00,11.6,74.1
2025-03-29 04:10:00,11.7,73.9
2025-03-29 04:20:00,11.4,74.2
2025-03-29 04:30:00,11.3,74.4
2025-03-29 04:40:00,11.3,74.6
2025-03-29 04:50:00,11.4,74.6
