------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T6.0
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor X10 Pro
device name, CoastalWarming_09
downloading mode, manual
------------------------------,--------------------
serial number, 04B0 6000 8F00 06
custom name, 
file name, issuemh03a_04B0_6000_8F00_06-20240116_132433.csv
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 1441
time diff [logger-smartphone](sec), 3719
lat, NA
long, NA
accuracy (m), 2.2
------------------------------,--------------------
time,temp
2023-11-17 12:00:00,19.1
2023-11-17 13:00:00,19.9
2023-11-17 14:00:00,18.9
2023-11-17 15:00:00,18.5
2023-11-17 16:00:00,18.1
2023-11-17 17:00:00,17.9
2023-11-17 18:00:00,17.8
2023-11-17 19:00:00,17.5
2023-11-17 20:00:00,16.8
2023-11-17 21:00:00,16.7
2023-11-17 22:00:00,16.2
2023-11-17 23:00:00,15.8
2023-11-18 00:00:00,15.4
2023-11-18 01:00:00,15.6
2023-11-18 02:00:00,16.4
2023-11-18 03:00:00,17.0
2023-11-18 04:00:00,17.0
2023-11-18 05:00:00,17.2
2023-11-18 06:00:00,17.3
2023-11-18 07:00:00,17.2
2023-11-18 08:00:00,16.9
2023-11-18 09:00:00,16.7
2023-11-18 10:00:00,16.7
2023-11-18 11:00:00,16.9
2023-11-18 12:00:00,17.3
2023-11-18 13:00:00,18.0
2023-11-18 14:00:00,17.8
2023-11-18 15:00:00,17.5
2023-11-18 16:00:00,18.6
2023-11-18 17:00:00,18.3
2023-11-18 18:00:00,18.1
2023-11-18 19:00:00,18.0
2023-11-18 20:00:00,17.0
2023-11-18 21:00:00,15.4
2023-11-18 22:00:00,14.8
2023-11-18 23:00:00,14.4
2023-11-19 00:00:00,14.1
2023-11-19 01:00:00,13.8
2023-11-19 02:00:00,13.9
2023-11-19 03:00:00,16.1
2023-11-19 04:00:00,16.4
2023-11-19 05:00:00,16.6
2023-11-19 06:00:00,16.8
2023-11-19 07:00:00,16.7
2023-11-19 08:00:00,16.8
2023-11-19 09:00:00,16.9
2023-11-19 10:00:00,18.1
2023-11-19 11:00:00,18.9
2023-11-19 12:00:00,17.9
2023-11-19 13:00:00,17.6
2023-11-19 14:00:00,17.4
2023-11-19 15:00:00,17.2
2023-11-19 16:00:00,17.8
2023-11-19 17:00:00,18.1
2023-11-19 18:00:00,18.0
2023-11-19 19:00:00,17.8
2023-11-19 20:00:00,17.7
2023-11-19 21:00:00,17.5
2023-11-19 22:00:00,16.0
2023-11-19 23:00:00,14.9
2023-11-20 00:00:00,14.4
2023-11-20 01:00:00,13.9
2023-11-20 02:00:00,13.6
2023-11-20 03:00:00,13.4
