------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor 22
device name, coastalwarming_25
downloading mode, auto
------------------------------,--------------------
serial number, 04AD E500 302D 06
custom name, issuemc01a
file name, issuemc01a-04AD_E500_302D_06-20240525_101116_no_data.csv
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 0
time diff [logger-smartphone](sec), -1
lat, NA
long, NA
accuracy (m), 1.3
------------------------------,--------------------
time,temp
