time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device
2024-06-05 06:37:24 UTC+0100, TAP LOGGER, 0425 E500 051E 0B, T7.3, nozzzmc01a,MISSION RUNNING, 1111, 3600, 0.1, 6426, 7, 2023-09-11 13:16:42 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:37:37 UTC+0100, DATA DOWNLOADED, 0425 E500 051E 0B, T7.3, nozzzmc01a,MISSION RUNNING, 1111, 3600, 0.1, 6426, 6, 2023-09-11 13:16:42 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:37:39 UTC+0100, START MISSION, 0425 E500 051E 0B, T7.3, nozzzmc01a,WAITING TO START, 1111, 3600, 0.1, NA, 0, 2024-06-05 07:00:00 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:38:50 UTC+0100, TAP LOGGER, 0425 E500 051E 0B, T7.3, nozzzmc01a,WAITING TO START, 1111, 3600, 0.1, NA, 1, 2024-06-05 07:01:09 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:38:52 UTC+0100, DATA DOWNLOADED, 0425 E500 051E 0B, T7.3, nozzzmc01a,WAITING TO START, 1111, 3600, 0.1, NA, 0, 2024-06-05 07:01:12 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:38:54 UTC+0100, START MISSION, 0425 E500 051E 0B, T7.3, nozzzmc01a,WAITING TO START, 1111, 3600, 0.1, NA, 1, 2024-06-05 07:00:00 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:39:12 UTC+0100, TAP LOGGER, 04DA 2800 D33A 0D, T7.3, nozzzmc02a,MISSION RUNNING, 1111, 3600, 0.1, 6426, -2, 2023-09-11 13:16:58 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:39:25 UTC+0100, DATA DOWNLOADED, 04DA 2800 D33A 0D, T7.3, nozzzmc02a,MISSION RUNNING, 1111, 3600, 0.1, 6426, -4, 2023-09-11 13:16:58 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:39:27 UTC+0100, START MISSION, 04DA 2800 D33A 0D, T7.3, nozzzmc02a,WAITING TO START, 1111, 3600, 0.1, NA, 1, 2024-06-05 07:00:00 UTC+0100, NA, NA, 3.0, Armor 22
2024-06-05 06:39:37 UTC+0100, TAP LOGGER, 0420 1B00 E501 07, T7.3, nozzzmc04a,MISSION RUNNING, 1111, 3600, 0.1, 6426, 23, 2023-09-11 13:18:10 UTC+0100, NA, NA, 3.0, Armor 22
