time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device
2024-05-25 09:57:01 UTC+0100, UNKNOW, 04D3 5E00 B818 02, T7.3, ,MISSION RUNNING, 0000, 3600, 0.1, 9403, 21, 2023-04-29 15:00:00 UTC+0100, NA, NA, 2.2, Armor 22
2024-05-25 09:57:09 UTC+0100, TAP LOGGER, 04D3 5E00 B818 02, T7.3, ptzzwmh01a,MISSION RUNNING, 1111, 3600, 0.1, 9403, 22, 2023-04-29 15:00:00 UTC+0100, NA, NA, 2.2, Armor 22
2024-05-25 09:57:27 UTC+0100, DATA DOWNLOADED, 04D3 5E00 B818 02, T7.3, ptzzwmh01a,MISSION RUNNING, 1111, 3600, 0.1, 9403, 21, 2023-04-29 15:00:00 UTC+0100, NA, NA, 2.2, Armor 22
2024-05-25 09:57:30 UTC+0100, START MISSION, 04D3 5E00 B818 02, T7.3, ptzzwmh01a,WAITING TO START, 1111, 3600, 0.1, NA, 0, 2024-05-25 10:00:00 UTC+0100, NA, NA, 2.2, Armor 22
2024-05-25 09:57:46 UTC+0100, TAP LOGGER, 0449 0C00 2310 05, T7.3, ptzzwmh02a,MISSION RUNNING, 1111, 3600, 0.1, 9403, 6, 2023-04-29 15:00:00 UTC+0100, NA, NA, 2.2, Armor 22
2024-05-25 09:58:04 UTC+0100, DATA DOWNLOADED, 0449 0C00 2310 05, T7.3, ptzzwmh02a,MISSION RUNNING, 1111, 3600, 0.1, 9403, 5, 2023-04-29 15:00:00 UTC+0100, NA, NA, 2.2, Armor 22
2024-05-25 09:58:07 UTC+0100, START MISSION, 0449 0C00 2310 05, T7.3, ptzzwmh02a,WAITING TO START, 1111, 3600, 0.1, NA, 0, 2024-05-25 10:00:00 UTC+0100, NA, NA, 2.2, Armor 22
2024-05-25 10:01:29 UTC+0100, TAP LOGGER, 04B5 9F00 850C 09, T7.3, ptzzwmh04a,MISSION RUNNING, 1111, 3600, 0.1, 9404, 12, 2023-04-29 15:00:00 UTC+0100, NA, NA, 1.5, Armor 22
2024-05-25 10:01:46 UTC+0100, DATA DOWNLOADED, 04B5 9F00 850C 09, T7.3, ptzzwmh04a,MISSION RUNNING, 1111, 3600, 0.1, 9404, 11, 2023-04-29 15:00:00 UTC+0100, NA, NA, 1.2, Armor 22
2024-05-25 10:01:49 UTC+0100, START MISSION, 04B5 9F00 850C 09, T7.3, ptzzwmh04a,WAITING TO START, 1111, 3600, 0.1, NA, 1, 2024-05-25 11:00:00 UTC+0100, NA, NA, 1.2, Armor 22
2024-05-25 10:01:58 UTC+0100, TAP LOGGER, 04FF 5E00 1A0E 08, T7.3, ptzzwmh05a,MISSION RUNNING, 1111, 3600, 0.1, 9404, -21, 2023-04-29 15:00:00 UTC+0100, NA, NA, 1.2, Armor 22
2024-05-25 10:02:16 UTC+0100, DATA DOWNLOADED, 04FF 5E00 1A0E 08, T7.3, ptzzwmh05a,MISSION RUNNING, 1111, 3600, 0.1, 9404, -21, 2023-04-29 15:00:00 UTC+0100, NA, NA, 1.2, Armor 22
2024-05-25 10:02:18 UTC+0100, START MISSION, 04FF 5E00 1A0E 08, T7.3, ptzzwmh05a,WAITING TO START, 1111, 3600, 0.1, NA, 0, 2024-05-25 11:00:00 UTC+0100, NA, NA, 1.2, Armor 22
2024-05-25 10:02:35 UTC+0100, TAP LOGGER, 04E7 1200 F340 10, T7.3, ptzzwmh03a,MISSION RUNNING, 1111, 3600, 0.1, 9404, 15, 2023-04-29 15:00:00 UTC+0100, NA, NA, 1.2, Armor 22
2024-05-25 10:02:53 UTC+0100, DATA DOWNLOADED, 04E7 1200 F340 10, T7.3, ptzzwmh03a,MISSION RUNNING, 1111, 3600, 0.1, 9404, 14, 2023-04-29 15:00:00 UTC+0100, NA, NA, 1.2, Armor 22
