time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device
2025-01-31 09:32:12 UTC+0000, TAP LOGGER, 043E 0400 9B21 03, T7.3, ptzzxmc01a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 5, 2024-12-15 11:00:00 UTC+0000, NA, NA, 2.6, Armor Mini 20T Pro
2025-01-31 09:32:22 UTC+0000, TAP LOGGER, 043E 0400 9B21 03, T7.3, ptzzxmc01a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 4, 2024-12-15 11:00:00 UTC+0000, NA, NA, 2.6, Armor Mini 20T Pro
2025-01-31 09:32:29 UTC+0000, TAP LOGGER, 043E 0400 9B21 03, T7.3, ptzzxmc01a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 5, 2024-12-15 11:00:00 UTC+0000, NA, NA, 2.6, Armor Mini 20T Pro
2025-01-31 09:34:15 UTC+0000, TAP LOGGER, 043E 0400 9B21 03, T7.3, ,MISSION RUNNING, 0000, 3600, 0.1, 1127, 5, 2024-12-15 11:00:00 UTC+0000, NA, NA, 2.6, Armor Mini 20T Pro
2025-01-31 09:34:25 UTC+0000, TAP LOGGER, 04A5 0300 3E1B 06, T7.3, ptzzxmh04a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 71, 2024-12-15 11:00:00 UTC+0000, NA, NA, 1.9, Armor Mini 20T Pro
2025-01-31 09:34:37 UTC+0000, TAP LOGGER, 04A5 0300 3E1B 06, T7.3, ptzzxmh04a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 71, 2024-12-15 11:00:00 UTC+0000, NA, NA, 1.9, Armor Mini 20T Pro
2025-01-31 09:34:41 UTC+0000, DATA DOWNLOADED, 04A5 0300 3E1B 06, T7.3, ptzzxmh04a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 70, 2024-12-15 11:00:00 UTC+0000, NA, NA, 1.9, Armor Mini 20T Pro
2025-01-31 09:34:43 UTC+0000, START MISSION, 04A5 0300 3E1B 06, T7.3, ptzzxmh04a,WAITING TO START, 1111, 3600, 0.1, NA, 1, 2025-01-31 10:00:00 UTC+0000, NA, NA, 1.9, Armor Mini 20T Pro
2025-01-31 09:34:58 UTC+0000, TAP LOGGER, 043E 0400 9B21 03, T7.3, ptzzxmc01a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 4, 2024-12-15 11:00:00 UTC+0000, NA, NA, 1.9, Armor Mini 20T Pro
2025-01-31 09:35:10 UTC+0000, TAP LOGGER, 043E 0400 9B21 03, T7.3, ptzzxmc01a,MISSION RUNNING, 1111, 3600, 0.1, 1127, 6, 2024-12-15 11:00:00 UTC+0000, NA, NA, 1.9, Armor Mini 20T Pro
